Order,type,indicator,filename,filename_old,url,download_code
1,data,Algal Toxin,nla2012_algaltoxins_08192016.csv,nla2012_algaltoxins_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv,"a1<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv');write.table(a1,paste(kali,'nla2012_algaltoxins_08192016.csv',sep=''),row.names=F,sep=',')"
2,metadata,Algal Toxin,nla2012_algaltoxins_meta_08192016.csv,nla2012_algaltoxins_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt,"a2<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt',sep='\t', header=TRUE);write.table(a2,paste(kali,'nla2012_algaltoxins_meta_08192016.csv',sep=''),row.names=F,sep=',')"
3,data,Atrazine,nla2012_atrazine_08192016.csv,nla2012_atrazine_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv,"a3<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv');write.table(a3,paste(kali,'nla2012_atrazine_08192016.csv',sep=''),row.names=F,sep=',')"
4,metadata,Atrazine,nla2012_atrazine_meta_08192016.csv,nla2012_atrazine_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt,"a4<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt',sep='\t', header=TRUE);write.table(a4,paste(kali,'nla2012_atrazine_meta_08192016.csv',sep=''),row.names=F,sep=',')"
5,data,Benthic Macroinvertebrates,nla2012_bentcond_08232016.csv,nla2012_bentcond_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv,"a5<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv');write.table(a5,paste(kali,'nla2012_bentcond_08232016.csv',sep=''),row.names=F,sep=',')"
6,metadata,Benthic Macroinvertebrates,nla2012_bentcond_meta_08232016.csv,nla2012_bentcond_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt,"a6<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt',sep='\t', header=TRUE);write.table(a6,paste(kali,'nla2012_bentcond_meta_08232016.csv',sep=''),row.names=F,sep=',')"
7,data,Benthic Macroinvertebrates,nla2012_bentmet.csv,nla2012_bentmet.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv,"a7<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv');write.table(a7,paste(kali,'nla2012_bentmet.csv',sep=''),row.names=F,sep=',')"
8,metadata,Benthic Macroinvertebrates,nla2012_bentmet_meta.csv,nla2012_bentmet_meta.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt,"a8<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt',sep='\t', header=TRUE);write.table(a8,paste(kali,'nla2012_bentmet_meta.csv',sep=''),row.names=F,sep=',')"
9,data,Benthic Macroinvertebrates,nla2012_benttaxa_wide_10272015.csv,nla2012_benttaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv,"a9<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv');write.table(a9,paste(kali,'nla2012_benttaxa_wide_10272015.csv',sep=''),row.names=F,sep=',')"
10,metadata,Benthic Macroinvertebrates,nla2012_benttaxa_wide_meta_10272015.csv,nla2012_benttaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt,"a10<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt',sep='\t', header=TRUE);write.table(a10,paste(kali,'nla2012_benttaxa_wide_meta_10272015.csv',sep=''),row.names=F,sep=',')"
11,data,Chlorophyll-a,nla2012_chla_wide.csv,nla2012_chla_wide.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide.csv,"a11<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide.csv');write.table(a11,paste(kali,'nla2012_chla_wide.csv',sep=''),row.names=F,sep=',')"
12,metadata,Chlorophyll-a,nla2012_chla_wide_meta.csv,nla2012_chla_wide_meta.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide_meta.txt,"a12<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide_meta.txt',sep='\t', header=TRUE);write.table(a12,paste(kali,'nla2012_chla_wide_meta.csv',sep=''),row.names=F,sep=',')"
13,data,Condition Category,nla_2012_condition_categories.csv,nla_2012_condition_categories.csv,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories.csv,"a13<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories.csv');write.table(a13,paste(kali,'nla_2012_condition_categories.csv',sep=''),row.names=F,sep=',')"
14,metadata,Condition Category,nla_2012_condition_categories_meta.csv,nla_2012_condition_categories_meta.csv,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories_meta.csv,"a14<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories_meta.csv');write.table(a14,paste(kali,'nla_2012_condition_categories_meta.csv',sep=''),row.names=F,sep=',')"
15,data,Phytoplankton,nla2012_phytocnt_02122014.csv,nla2012_phytocnt_02122014.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytocnt_02122014.csv,"a15<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_phytocnt_02122014.csv');write.table(a15,paste(kali,'nla2012_phytocnt_02122014.csv',sep=''),row.names=F,sep=',')"
16,metadata,Phytoplankton,SEE: nla2012_phytotaxa_wide_meta_10272015.csv,SEE: nla2012_phytotaxa_wide_meta_10272015.txt,,
17,data,Phytoplankton,nla2012_phytotaxa_wide_10272015.csv,nla2012_phytotaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_10272015.csv,"a17<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_10272015.csv');write.table(a17,paste(kali,'nla2012_phytotaxa_wide_10272015.csv',sep=''),row.names=F,sep=',')"
18,metadata,Phytoplankton,nla2012_phytotaxa_wide_meta_10272015.csv,nla2012_phytotaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_meta_10272015.txt,"a18<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_meta_10272015.txt',sep='\t', header=TRUE);write.table(a18,paste(kali,'nla2012_phytotaxa_wide_meta_10272015.csv',sep=''),row.names=F,sep=',')"
19,data,Secchi,nla2012_secchi_08232016.csv,nla2012_secchi_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_08232016.csv,"a19<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_08232016.csv');write.table(a19,paste(kali,'nla2012_secchi_08232016.csv',sep=''),row.names=F,sep=',')"
20,metadata,Secchi,nla2012_secchi_meta_08232016.csv,nla2012_secchi_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_meta_08232016.txt,"a20<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_meta_08232016.txt',sep='\t', header=TRUE);write.table(a20,paste(kali,'nla2012_secchi_meta_08232016.csv',sep=''),row.names=F,sep=',')"
21,data,Sediment,nla2012_topsedhg_08192016.csv,nla2012_topsedhg_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_08192016.csv,"a21<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_08192016.csv');write.table(a21,paste(kali,'nla2012_topsedhg_08192016.csv',sep=''),row.names=F,sep=',')"
22,metadata,Sediment,nla2012_topsedhg_meta_08192016.csv,nla2012_topsedhg_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_meta_08192016.txt,"a22<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_meta_08192016.txt',sep='\t', header=TRUE);write.table(a22,paste(kali,'nla2012_topsedhg_meta_08192016.csv',sep=''),row.names=F,sep=',')"
23,data,Water Chemistry,nla2012_waterchem_wide.csv,nla2012_waterchem_wide.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_wide.csv,"a23<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_wide.csv');write.table(a23,paste(kali,'nla2012_waterchem_wide.csv',sep=''),row.names=F,sep=',')"
24,metadata,Water Chemistry,nla2012_waterchem_meta.csv,nla2012_waterchem_meta.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_meta.txt,"a24<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_meta.txt',sep='\t', header=TRUE);write.table(a24,paste(kali,'nla2012_waterchem_meta.csv',sep=''),row.names=F,sep=',')"
25,data,Benthic Macroinvertebrates,nla2012_wide_benthic_08232016.csv,nla2012_wide_benthic_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_08232016.csv,"a25<-read.csv('https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_08232016.csv');write.table(a25,paste(kali,'nla2012_wide_benthic_08232016.csv',sep=''),row.names=F,sep=',')"
26,metadata,Benthic Macroinvertebrates,nla2012_wide_benthic_meta_08232016.csv,nla2012_wide_benthic_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_meta_08232016.txt,"a26<-read.table('https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_meta_08232016.txt',sep='\t', header=TRUE);write.table(a26,paste(kali,'nla2012_wide_benthic_meta_08232016.csv',sep=''),row.names=F,sep=',')"
27,data,Physical Habitat,nla2012_wide_phab_08232016_0.csv,nla2012_wide_phab_08232016_0.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_08232016_0.csv,"a27<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_08232016_0.csv');write.table(a27,paste(kali,'nla2012_wide_phab_08232016_0.csv',sep=''),row.names=F,sep=',')"
28,metadata,Physical Habitat,nla2012_wide_phab_meta_08232016.csv,nla2012_wide_phab_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_meta_08232016.txt,"a28<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_meta_08232016.txt',sep='\t', header=TRUE);write.table(a28,paste(kali,'nla2012_wide_phab_meta_08232016.csv',sep=''),row.names=F,sep=',')"
29,data,Physical Habitat,nla2012_wide_phabmet_10202016.csv,nla2012_wide_phabmet_10202016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_10202016.csv,"a29<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_10202016.csv');write.table(a29,paste(kali,'nla2012_wide_phabmet_10202016.csv',sep=''),row.names=F,sep=',')"
30,metadata,Physical Habitat,nla2012_wide_phabmet_meta_08232016.csv,nla2012_wide_phabmet_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_meta_08232016.txt,"a30<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_meta_08232016.txt',sep='\t', header=TRUE);write.table(a30,paste(kali,'nla2012_wide_phabmet_meta_08232016.csv',sep=''),row.names=F,sep=',')"
31,data,Water Chemistry,nla2012_wide_profile_08232016.csv,nla2012_wide_profile_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_08232016.csv,"a31<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_08232016.csv');write.table(a31,paste(kali,'nla2012_wide_profile_08232016.csv',sep=''),row.names=F,sep=',')"
32,metadata,Water Chemistry,nla2012_wide_profile_meta_08232016.csv,nla2012_wide_profile_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_meta_08232016.txt,"a32<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_meta_08232016.txt',sep='\t', header=TRUE);write.table(a32,paste(kali,'nla2012_wide_profile_meta_08232016.csv',sep=''),row.names=F,sep=',')"
33,data,Site Information,nla2012_wide_siteinfo_08232016.csv,nla2012_wide_siteinfo_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_08232016.csv,"a33<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_08232016.csv');write.table(a33,paste(kali,'nla2012_wide_siteinfo_08232016.csv',sep=''),row.names=F,sep=',')"
34,metadata,Site Information,nla2012_wide_siteinfo_meta_08232016.csv,nla2012_wide_siteinfo_meta_08232016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_meta_08232016.txt,"a34<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_meta_08232016.txt',sep='\t', header=TRUE);write.table(a34,paste(kali,'nla2012_wide_siteinfo_meta_08232016.csv',sep=''),row.names=F,sep=',')"
35,data,Zooplankton,nla2012_zoopcond_08192016.csv,nla2012_zoopcond_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_08192016.csv,"a35<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_08192016.csv');write.table(a35,paste(kali,'nla2012_zoopcond_08192016.csv',sep=''),row.names=F,sep=',')"
36,metadata,Zooplankton,nla2012_zoopcond_meta_08192016.csv,nla2012_zoopcond_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_meta_08192016.txt,"a36<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_meta_08192016.txt',sep='\t', header=TRUE);write.table(a36,paste(kali,'nla2012_zoopcond_meta_08192016.csv',sep=''),row.names=F,sep=',')"
37,data,Zooplankton,nla2012_zoopmets_08192016.csv,nla2012_zoopmets_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_08192016.csv,"a37<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_08192016.csv');write.table(a37,paste(kali,'nla2012_zoopmets_08192016.csv',sep=''),row.names=F,sep=',')"
38,metadata,Zooplankton,nla2012_zoopmets_meta_08192016.csv,nla2012_zoopmets_meta_08192016.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_meta_08192016.txt,"a38<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_meta_08192016.txt',sep='\t', header=TRUE);write.table(a38,paste(kali,'nla2012_zoopmets_meta_08192016.csv',sep=''),row.names=F,sep=',')"
39,data,Zooplankton,nla2012_zooptaxa_wide_10272015.csv,nla2012_zooptaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_10272015.csv,"a39<-read.csv('https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_10272015.csv');write.table(a39,paste(kali,'nla2012_zooptaxa_wide_10272015.csv',sep=''),row.names=F,sep=',')"
40,metadata,Zooplankton,nla2012_zooptaxa_wide_meta_10272015.csv,nla2012_zooptaxa_wide_meta_10272015.txt,https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_meta_10272015.txt,"a40<-read.table('https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_meta_10272015.txt',sep='\t', header=TRUE);write.table(a40,paste(kali,'nla2012_zooptaxa_wide_meta_10272015.csv',sep=''),row.names=F,sep=',')"
