"","algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07"
"1","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Aphanocapsa","Aphanocapsa; Aphanocapsa conferta; Aphanocapsa delicatissima; Aphanocapsa elachista; Aphanocapsa holsatica; Aphanocapsa incerta; Aphanocapsa parasitica; Aphanocapsa planctonica","Aphanocapsa; Aphanocapsa delicatissima; Aphanocapsa elachista planctonica; Aphanocapsa grevilei; Aphanocapsa holsatica"
"2","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Aphanothece","Aphanothece; Aphanothece clathrata; Aphanothece endophytica; Aphanothece smithii","Aphanothece; Aphanothece clathrata"
"3","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Asterocapsa","Asterocapsa",NA
"4","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Chondrocystis","Chondrocystis",NA
"5","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Chroococcus","Chroococcus; Chroococcus aphanocapsoides; Chroococcus dispersus; Chroococcus distans; Chroococcus globosus; Chroococcus limneticus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus; Chroococcus planctonicus; Chroococcus prescottii; Chroococcus turgidus","Chroococcus; Chroococcus dispersus; Chroococcus limneticus; Chroococcus limneticus distans; Chroococcus limneticus subsalsus; Chroococcus microscopicus; Chroococcus minimus; Chroococcus minor; Chroococcus minutus"
"6","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Merismopediaceae","Coelosphaerium","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium microporum; Coelosphaerium naegelianum","Coelosphaerium; Coelosphaerium kuetzingianum; Coelosphaerium naegelianum"
"7","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Cyanokybus","Cyanokybus",NA
"8","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Chroococcaceae","Cyanosarcina","Cyanosarcina","Cyanosarcina"
"9","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Chroococcaceae","Synechococcaceae","Dactylococcopsis","Dactylococcopsis; Dactylococcopsis fascicularis","Dactylococcopsis; Dactylococcopsis acicularis; Dactylococcopsis fascicularis"
"10","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Chroococcaceae",NA,"Gloeocapsopsis","Gloeocapsopsis",NA
"11","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Chlorogloea","Chlorogloea",NA
"12","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Entophysalidaceae",NA,"Radiocystis","Radiocystis; Radiocystis geminata",NA
"13","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Gomphosphaeria","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria lacustris; Gomphosphaeria natans","Gomphosphaeria; Gomphosphaeria aponina; Gomphosphaeria virieuxii"
"14","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Merismopedia","Merismopedia; Merismopedia danubiana; Merismopedia duplex; Merismopedia elegans; Merismopedia glauca; Merismopedia minima; Merismopedia punctata; Merismopedia tenuissima; Merismopedia trolleri; Merismopedia warmingiana","Merismopedia; Merismopedia glauca; Merismopedia punctata; Merismopedia tenuissima"
"15","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Snowella","Snowella; Snowella fennica; Snowella lacustris; Snowella littoralis","Snowella; Snowella atomus; Snowella lacustris"
"16","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Synechocystis","Synechocystis; Synechocystis aquaticus; Synechocystis aquatilis; Synechocystis endobiotica","Synechocystis"
"17","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Merismopediaceae","Merismopediaceae","Woronichinia","Woronichinia; Woronichinia karelica; Woronichinia naegeliana","Woronichinia"
"18","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Microcystaceae","Microcystaceae","Gloeocapsa","Gloeocapsa","Gloeocapsa"
"19","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Microcystaceae","Microcystaceae","Microcystis","Microcystis; Microcystis aeruginosa; Microcystis botrys; Microcystis flos-aquae; Microcystis natans; Microcystis smithii; Microcystis viridis; Microcystis wesenbergii","Microcystis; Microcystis aeruginosa; Microcystis firma; Microcystis flosaquae; Microcystis ichthyoblabe; Microcystis smithii; Microcystis wesenbergii"
"20","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Synechococcaceae",NA,"Cyanothece","Cyanothece",NA
"21","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Gloeothece","Gloeothece; Gloeothece subtilis","Gloeothece"
"22","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Rhabdoderma","Rhabdoderma; Rhabdoderma lineare","Rhabdoderma; Rhabdoderma lineare"
"23","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Synechococcaceae",NA,"Rhabdogloea","Rhabdogloea; Rhabdogloea linearis; Rhabdogloea smithii",NA
"24","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Synechococcus","Synechococcus; Synechococcus nidulans","Synechococcus; Synechococcus linearis; Synechococcus minutus"
"25","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Microchaetaceae",NA,"Tolypothrix","Tolypothrix; Tolypothrix tenuis",NA
"26","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaena","Anabaena; Anabaena aequalis; Anabaena affinis; Anabaena angstumalis; Anabaena carmichaelii; Anabaena circinalis; Anabaena compacta; Anabaena crassa; Anabaena cylindrica; Anabaena flos-aquae; Anabaena inaequalis; Anabaena lemmermannii; Anabaena limnetica; Anabaena longicellularis; Anabaena planctonica; Anabaena pseudocompacta; Anabaena sigmoidea; Anabaena smithii; Anabaena solitaria; Anabaena spiroides; Anabaena subcylindrica; Anabaena torulosa; Anabaena variabilis; Anabaena wisconsinensis","Anabaena; Anabaena affinis; Anabaena circinalis; Anabaena circinalis macrospora; Anabaena flosaquae; Anabaena smithii; Anabaena spiroides crassa; Anabaena subcylindrica; Anabaena viguieri; Anabaena wisconsinense"
"27","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaenopsis","Anabaenopsis; Anabaenopsis circularis; Anabaenopsis elenkenii; Anabaenopsis tanganyikae","Anabaenopsis; Anabaenopsis elenkinii"
"28","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Aphanizomenon","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon capricorni; Aphanizomenon flos-aquae; Aphanizomenon gracile; Aphanizomenon issatschenkoi; Aphanizomenon yezoense","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon flosaquae"
"29","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Cylindrospermopsis","Cylindrospermopsis; Cylindrospermopsis phillipinensis; Cylindrospermopsis raciborskii","Cylindrospermopsis"
"30","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Cylindrospermum","Cylindrospermum","Cylindrospermum"
"31","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Nostocaceae",NA,"Dolichospermum","Dolichospermum; Dolichospermum circinale; Dolichospermum flos-aquae",NA
"32","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Nodularia","Nodularia","Nodularia"
"33","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Raphidiopsis","Raphidiopsis; Raphidiopsis curvata; Raphidiopsis mediterranea","Raphidiopsis"
"34","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Oscillatoriales","Oscillatoriaceae","Phormidiaceae","Arthrospira","Arthrospira","Arthrospira"
"35","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Calothrix","Calothrix; Calothrix aeruginea","Calothrix"
"36","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Gloeotrichia","Gloeotrichia; Gloeotrichia echinulata; Gloeotrichia natans","Gloeotrichia"
"37","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Rivulariaceae",NA,"Rivularia","Rivularia",NA
"38","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Oscillatoriales",NA,"Borziaceae",NA,"Komvophoron","Komvophoron; Komvophoron breve; Komvophoron constrictum; Komvophoron skujae",NA
"39","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Oscillatoriaceae","Oscillatoriaceae","Lyngbya","Lyngbya; Lyngbya hieronymusii; Lyngbya limnetica","Lyngbya; Lyngbya contorta; Lyngbya limnetica; Lyngbya majuscula"
"40","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Oscillatoriaceae","Oscillatoriaceae","Oscillatoria","Oscillatoria; Oscillatoria limosa; Oscillatoria ornata; Oscillatoria princeps; Oscillatoria simplicissima; Oscillatoria subbrevis; Oscillatoria tenuis","Oscillatoria; Oscillatoria contorta; Oscillatoria limosa; Oscillatoria sancta; Oscillatoria tenuis; Oscillatoria utermoelaii"
"41","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Phormidium","Phormidium","Phormidium; Phormidium granulatum; Phormidium minnesothense; Phormidium tenue"
"42","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Planktothrix","Planktothrix; Planktothrix agardhii; Planktothrix compressa; Planktothrix isothrix; Planktothrix suspensa","Planktothrix; Planktothrix agardhii"
"43","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Trichodesmium","Trichodesmium lacustre","Trichodesmium"
"44","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Oscillatoriales",NA,"Phormidiaceae",NA,"Tychonema","Tychonema; Tychonema bourrellyi",NA
"45","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Geitlerinema","Geitlerinema","Geitlerinema"
"46","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Glaucospira","Glaucospira","Glaucospira"
"47","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Homoeotrichaceae","Heteroleibleinia","Heteroleibleinia","Heteroleibleinia"
"48","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Jaaginema","Jaaginema; Jaaginema metaphyticum","Jaaginema"
"49","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Leptolyngbya","Leptolyngbya; Leptolyngbya angustissima; Leptolyngbya boryanum; Leptolyngbya subtilis; Leptolyngbya tenuis","Leptolyngbya; Leptolyngbya cartilaginea"
"50","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Limnothrix","Limnothrix; Limnothrix redekei","Limnothrix"
"51","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Planktolyngbya","Planktolyngbya; Planktolyngbya capillaris; Planktolyngbya circumcreta; Planktolyngbya contorta; Planktolyngbya limnetica; Planktolyngbya microspira; Planktolyngbya regularis; Planktolyngbya tallingii","Planktolyngbya; Planktolyngbya contorta; Planktolyngbya limnetica"
"52","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena; Pseudanabaena catenata; Pseudanabaena galeata; Pseudanabaena limnetica; Pseudanabaena raphidioides; Pseudanabaena recta; Pseudanabaena voronichinii","Pseudanabaena; Pseudanabaena moniliformis"
"53","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Romeria","Romeria; Romeria leopoliensis; Romeria simplex","Romeria"
"54","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Pseudanabaenaceae","Pseudanabaenaceae","Spirulina","Spirulina; Spirulina major; Spirulina minima; Spirulina subsalsa","Spirulina; Spirulina laxa"
"55","Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Synechococcales","Chroococcales","Merismopediaceae","Chroococcaceae","Eucapsis","Eucapsis","Eucapsis"
"56","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Synechococcales",NA,"Synechococcaceae",NA,"Cyanodictyon","Cyanodictyon filiforme",NA
"57","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Synechococcales",NA,"Synechococcaceae",NA,"Lemmermaniella","Lemmermaniella",NA
"58","Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Synechococcales",NA,"Synechococcophycidae",NA,"Cyanogranis","Cyanogranis",NA
"59","Cryptophytes","Cryptomonads","Cryptophyta","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales","Cryptomonadaceae","Cryptomonadaceae","Chroomonas","Chroomonas; Chroomonas acuta; Chroomonas nordstedtii; Chroomonas rosenbergii","Chroomonas; Chroomonas acuta"
"60","Cryptophytes","Cryptomonads","Cryptophyta","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales","Cryptomonadaceae","Cryptomonadaceae","Cryptomonas","Cryptomonas; Cryptomonas anomala; Cryptomonas curvata; Cryptomonas erosa; Cryptomonas marssonii; Cryptomonas ovata; Cryptomonas platyuris; Cryptomonas richei","Cryptomonas; Cryptomonas caudata"
"61","Cryptophytes","Cryptomonads","Cryptophyta","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales","Cryptomonadaceae","Cryptomonadaceae","Komma","Komma caudata","Komma; Komma caudata"
"62","Cryptophytes",NA,"Cryptophyta",NA,"Cryptophyceae","Cryptomonadales",NA,"Cryptomonadaceae",NA,"Plagioselmis","Plagioselmis nannoplanctica",NA
"63","Cryptophytes",NA,"Cryptophyta",NA,"Cryptophyceae","Cryptomonadales",NA,"Cryptomonadaceae",NA,"Rhodomonas","Rhodomonas; Rhodomonas lacustris",NA
"64","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Aulacoseiraceae","Aulacoseiraceae","Aulacoseira","Aulacoseira; Aulacoseira alpigena; Aulacoseira ambigua; Aulacoseira granulata; Aulacoseira islandica; Aulacoseira italica; Aulacoseira subarctica","Aulacoseira; Aulacoseira distans; Aulacoseira granulata; Aulacoseira italica"
"65","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Chaetocerotacaea",NA,"Chaetoceros","Chaetoceros",NA
"66","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Hemidiscaceae",NA,"Actinocyclus","Actinocyclus",NA
"67","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Melosiraceae","Melosiraceae","Melosira","Melosira; Melosira varians","Melosira"
"68","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Rhizosoleniaceae",NA,"Rhizosolenia","Rhizosolenia",NA
"69","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Stephanodiscaceae","Cyclotella","Cyclotella; Cyclotella bodanica; Cyclotella meneghiniana; Cyclotella ocellata; Cyclotella stelligera","Cyclotella; Cyclotella bodanica"
"70","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Thalassiosiraceae","Puncticulata","Puncticulata bodanica","Puncticulata; Puncticulata comta"
"71","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Stephanodiscaceae","Stephanodiscus","Stephanodiscus; Stephanodiscus binderanus; Stephanodiscus niagarae","Stephanodiscus"
"72","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Achnanthaceae",NA,"Achnanthes","Achnanthes",NA
"73","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Achnanthaceae","Achnanthaceae","Cocconeis","Cocconeis; Cocconeis pediculus; Cocconeis placentula","Cocconeis; Cocconeis placentula lineata"
